"NAVN","REGISTERENHETID","LAT","LON"
"BJØRN BYGG AS",3128356,69.6315124952579,18.9611592351998
"BJØRN BYGG AS",3128357,69.6319731674435,18.9626378025763
"BJØRN BYGG AS",3128358,69.6318689622959,18.9625977427569
"BJØRN BYGG AS",3128359,69.6316844858861,18.9624524513125
"BJØRN BYGG AS",3128360,69.6315989630633,18.9623410830079
"BJØRN BYGG AS",3128361,69.6314910631943,18.9623054947581
"BJØRN BYGG AS",3128362,69.6314022522604,18.9621806199997
"BJØRN BYGG AS",3128363,69.631312953233,18.9620376021671
"BJØRN BYGG AS",3128364,69.6324085031281,18.9636474620165
"BJØRN BYGG AS",3128365,69.6325885880642,18.9636294616714
"BJØRN BYGG AS",3128750,69.6316812415377,18.9572705098192
"BJØRN BYGG AS",3128751,69.6316119925797,18.9571544554624
"BJØRN BYGG AS",3131323,69.6866890111838,18.8061222383944
"BJØRN BYGG AS",3131324,69.6866207942764,18.8063685272309
"BJØRN BYGG AS",3131327,69.6863471584127,18.8079688441906
"BJØRN BYGG AS",3131328,69.6862970641792,18.8084562319887
"BJØRN BYGG AS",3131330,69.6861150290283,18.8082347953029
"BJØRN BYGG AS",3131331,69.6861661885108,18.8078639426843
"BJØRN BYGG AS",3131332,69.6861415668432,18.8073424531363
"BJØRN BYGG AS",3131334,69.6863450889015,18.8062414552086
"BJØRN BYGG AS",3131335,69.6864166549308,18.8058406488875
"BJØRN BYGG AS",3131340,69.6858110940068,18.8084981801013
"BJØRN BYGG AS",3131343,69.6860415376573,18.8107112578613
"BJØRN BYGG AS",3131363,69.6861918446844,18.8058519898781
"BJØRN BYGG AS",3131364,69.6861605356514,18.8060531945923
"BJØRN BYGG AS",3131365,69.6861186038262,18.8063300509481
"BJØRN BYGG AS",3131366,69.6860699570609,18.8065022875362
"BJØRN BYGG AS",3131367,69.686012362384,18.8066729163893
"BJØRN BYGG AS",3131368,69.6858037577937,18.8063510714325
"BJØRN BYGG AS",3131369,69.6858445731561,18.8061257245689
"BJØRN BYGG AS",3131370,69.6858680509365,18.8058714109106
"BJØRN BYGG AS",3131371,69.6858999179326,18.8056444559287
"BJØRN BYGG AS",3131372,69.6859496801538,18.8054207130759
"BJØRN BYGG AS",3131373,69.685998325864,18.8052484749515
"BJØRN BYGG AS",3131374,69.686038581737,18.8050488768198
"BJØRN BYGG AS",3131409,69.6867096978827,18.8059966833023
"BJØRN BYGG AS",3131410,69.6866001073144,18.8064940814299
"BJØRN BYGG AS",3131411,69.6862847648521,18.8086091431159
"BJØRN BYGG AS",3131417,69.6863267518006,18.8081642503497
"BJØRN BYGG AS",3133005,69.7064029119952,18.9057294182135
"BJØRN BYGG AS",3133008,69.7066436789594,18.9062138062499
"BJØRN BYGG AS",3133010,69.7065802577385,18.9066420739316
"BJØRN BYGG AS",3133018,69.7059565356482,18.9080280129661
"BJØRN BYGG AS",3135512,69.703837402774,18.98239874229
"BJØRN BYGG AS",3135514,69.7034151950375,18.982396966983
"BJØRN BYGG AS",3135516,69.7030727315368,18.9820478975202
"BJØRN BYGG AS",3136932,69.6742741047039,18.9432772461638
"BJØRN BYGG AS",3136934,69.6744610920093,18.9437513328383
"BJØRN BYGG AS",3136936,69.6747641096798,18.9438593692624
"BJØRN BYGG AS",3136938,69.6749871889191,18.9439266991082
"BJØRN BYGG AS",3241639,69.6315178647737,18.957304569171
"BJØRN BYGG AS",3241640,69.6314218015829,18.9572222089864
"BJØRN BYGG AS",3241641,69.6313525525864,18.9571061562227
"BJØRN BYGG AS",3241642,69.6312731970194,18.957039802935
"BJØRN BYGG AS",3241643,69.6311950016878,18.956922086206
"BJØRN BYGG AS",3241644,69.6311263325929,18.9567803537761
"BJØRN BYGG AS",3241645,69.6310380306834,18.9567123371507
"BJØRN BYGG AS",3245383,69.6322755592166,18.9643216183762
"BJØRN BYGG AS",3245384,69.6321360494286,18.9639757860935
"BJØRN BYGG AS",3284142,69.6313405981219,18.9580323494087
"BJØRN BYGG AS",3301887,69.6688091663886,18.9374043480711
"BJØRN BYGG AS",3301888,69.6688056924338,18.9383596062658
"BJØRN BYGG AS",3301889,69.6687482656055,18.9381164284756
"BJØRN BYGG AS",3301890,69.6686192674279,18.9378599664365
"BJØRN BYGG AS",3301891,69.6685618398961,18.9376167921275
"BJØRN BYGG AS",3301892,69.6683047098932,18.9366648550007
"BJØRN BYGG AS",3301893,69.6686218745672,18.9365428666135
"BJØRN BYGG AS",3301894,69.6687687697979,18.9360017524589
"BJØRN BYGG AS",3301895,69.6687673267207,18.9356656281382
"BJØRN BYGG AS",3304682,69.6689606825151,18.9350556171272
"BJØRN BYGG AS",3304683,69.6690778528585,18.9354390488896
"BJØRN BYGG AS",3304684,69.6692230158936,18.935776007357
"BJØRN BYGG AS",3304685,69.669702945983,18.9364076146924
"BJØRN BYGG AS",3304686,69.6687748294031,18.9353311634841
"BJØRN BYGG AS",3305609,69.6697450782211,18.9369321597702
"BJØRN BYGG AS",3306627,69.6682210187679,18.9363909800053
